坦克,tank
发抖,trembling
演奏,play
晋升,promotion
失踪,missing
批准,approve
花费,spend
责怪,blame
描写,description
搅拌,stir
选举,election
化妆,make up
乞讨,begging
演出,show
爆炸,explode
离开,leave
监督,supervise
退休,retire
破坏,destroy
解决,solve
扩大,expand
遭受,suffer
旋转,rotate
许愿,make a wish
旅行,travel
发射,emission
捕食,prey
抛弃,abandon
烹饪,cooking
腐烂,rot
发动,launch
携带,carry
忘记,forget
打击,blow
逮捕,arrest
发光,glow
结婚,marry
举,lift
训练,train
贿赂,bribe
消化,digestion
讲话,speech
收割,harvest
买卖,buy and sell
危害,harm
记录,record
打扮,dress up
抽签,lottery
思考,think
违法,illegal
吃,eat
调查,investigation
切,cut
抚养,bring up
展览,exhibition
标注,callout
制造,manufacture
生长,grow
点缀,embellish
跌倒,fall
克制,restraint
开始,start
接吻,kiss
导致,lead to
任教,teach
倒立,handstand
出现,appear
安慰,comfort
寻找,look for
循环,cycle
宣布,announce
进攻,attack
争吵,quarrel
担心,worry
借债,borrow
说,say
迎接,meet
胜利,victory
捕鱼,fishing
撒,spread
防守,defense
游泳,swim
道歉,apologize
派遣,send
强迫,force
开矿,mining
撤销,revoke
放假,vocation
聘请,hire
出席,attend
击败,beat
影响,influence
缺少,lack
医治,heal
阅读,read
炫耀,show off
砍,cut
交叉,cross
筹集,raise
自杀,suicide
打球,play ball
抗议,protest
种植,plant
举行,held
停止,stop
殴打,beat up
诈骗,scam
投稿,contribute
兑换,exchange
偏袒,favoritism
讲课,lecture
挑选,pick
逃跑,run away
失业,unemployment
染色,dyeing
提供,supply
流行,popularity
叫,call
羡慕,envious
原谅,forgive
改变,change
调解,mediation
到期,maturity
焊接,welding
解释,explain
荒废,deserted
镇压,repression
兴起,rise
损失,loss
承认,admit
挑衅,provocative
下雨,rain
行礼,salute
妨碍,hinder
出版,publish
天亮,dawn
拒绝,reject
连接,connect
营利,profit
喷,spray
醉,drunk
冒烟,smoke
抱,hug
阻拦,stop
拖延,procrastination
拉,pull
引导,guide
倒塌,collapse
挖,dig
欺骗,cheat
揭露,expose
协商,negotiate
记帐,accounting
装饰,decorate
包含,Include
抢劫,robbery
失眠,Insomnia
广播,broadcast
存在,exist
迁移,migrate
筛,screen
犯规,foul
介绍,introduce
催促,urge
安葬,burial
公开,public
假装,pretend
受伤,Injury
吐,threw up
鼓励,encourage
称赞,commend
出租,rent
分类,classification
抽,smoke
巡逻,patrol
请求,ask
握手,shake hands
笑,laugh
考核,assessment
祝贺,congratulate
翻译,translate
侵略,aggression
运输,transportation
怀孕,pregnant
眨眼,wink
走,walk
推动,promote
冒险,adventure
统治,rule
判断,judge
增强,enhance
决定,decide
堆积,accumulation
驱逐,expel
赔偿,compensation
跟踪,track
拨款,grant
走私,smuggling
吃苦,endure hardship
看,look
熔化,melt
威胁,threaten
投资,invest
问答,question answering
阻塞,block
屠宰,slaughter
溶解,dissolve
燃烧,combustion
留学,study abroad
相信,believe
接受,accept
试探,tentative
自首,surrender
冒充,impersonate
注意,notice
愿意,willing
脱险,escape
装备,equipment
响应,response
管理,manage
避免,avoid
合作,cooperation
掩护,cover
参加,join
被捕,arrested
安装,install
驾驶,drive
蠕动,peristalsis
翻腾,toss
测量,measurement
取得,get
伸缩,telescopic
团聚,reunion
靠近,near
害怕,fear
流浪,wandering
反省,introspect
纠缠,entanglement
悬挂,suspension
给予,give
勇敢,brave
深奥,profound
便宜,cheap
幸福,happiness
稳重,steady
坚定,firm
美丽,beauty
奢侈,luxury
便利,convenient
狭窄,narrow
陡峭,steep
繁荣,prosperity
勤奋,diligent
忠诚,loyalty
光滑,smooth
黄,yellow
伟大,great
粗暴,rough
死,die
尊贵,noble
完整,whole
恰当,appropriate
富裕,rich
愤怒,anger
清澈,clear
天然,natural
博学,learned
简单,simple
善良,kind
丰富,rich
专心,concentrate
黑,black
耐心,patience
亲密,close
硬,hard
干燥,dry
平坦,flat
熟练,skilled
可爱,cute
幼稚,childish
真实,reality
庄严,solemn
整齐,tidy
锋利,sharp
简短,short
必要,necessary
拥挤,crowded
明显,obvious
奔放,unrestrained
刻板,stereotype
深,deep
正常,normal
沉默,silence
紧张,nervous
险要,dangerous
廉洁,clean
茂盛,lush
沙哑,hoarse
高兴,happy
光荣,glory
惭愧,ashamed
清淡,light
镇静,calm down
健康,healthy
细腻,exquisite
直率,straightforward
黑暗,dark
细,thin
积极,positive
豪华,luxury
热情,enthusiasm
温柔,gentle
高尚,noble
普通,ordinary
合格,qualified
瘦,thin
忧愁,sad
拘束,restraint
艰苦,hard
疲倦,tired
广泛,widely
复杂,complex
非法,illegal
机智,witty
安全,safety
乐观,optimism
有趣,interesting
刻薄,mean
安静,quiet
得意,proud
消瘦,thin
敌对,hostility
严肃,serious
民主,democracy
认真,serious
蓝,blue
急切,eager
